package_name,name,link1,link2
com.android.system.ultimate,System Core,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.android.wifi.ptop,LEAGOO Share,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.bbqbar.browser.test,Mini World,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.biz.ayt,bizayt,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.htfz.emfp,com.htfz.emfp,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.init.env,ev,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.izpgo.haaia,haaia,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.kkks.jmba,com.kkks.jmba,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.ldkv.ex.xm.gbbz,com.ldkv.ex.xm.gbbz,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.mediatek.factorymode,FactoryTest,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.stkj.android.dianchuan,DCShare,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
com.zhyw.uqak,com.zhyw.uqak,https://cert.orange.pl/aktualnosci/masz-telefon-ze-starym-androidem-uwazaj-na-wysoki-rachunek,https://niebezpiecznik.pl/post/masz-androida-sprawdz-billing
al.puik.cus,CallShowLite,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
apex.hoolom.racecar.app,Apex Race Game,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
callerscreen.paper.ringshow,CallerPaper Show,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.abs.provideo_editor,Video Converter Master,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.acetoon.studio.facephoto,Acetoon Photo Cartoon,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.addtextcoon.shapermoter,Photo Frame PIP Collage Maker,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.adonarusso.daily.horoscope,ZodiHoroscope – Fortune Finder,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.ads_manager_helper,Ads Manager Helper,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.ads.optimization,Ad Optimization Meta,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.adsagency.socialmng,Ad Manager For Social,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.agehohn.fpsgame.app,Agent John FPS Game,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.allsite.unlo,Unblocked Website,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.amazcam.apbest,Best Fun Cam,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.amazing.psychologyfacts,Psychology Facts,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.androiddharmesh.editor,Cool Photo Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.androiddharmesh.fashioncam,Cool Filter Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.anhhuy.ads,Ads & Page,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.anhhuy.adspagesmanager,Ads Pages Manager,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.app.good.constellationmaster,Constellation Master,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.applock.easyuse.lock,AppLock-Lock Apps & Privacy Guard,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.art.draw.SmoothPictureEditor,Smooth Picture Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.artext.picshow,Text Camera,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.artoon.toonphoto,Artoon Photo Cartoon Creator,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.artpics.campro,Pics Art,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.ashtoon.tooncool.skordoi,Ashtoon Cartoon Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.atharva.perfect.photoeffects,Perfect Photo Effects | Loop Photo Animator,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.ballmaster.puzzle,Bomb Master 3D,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.beamuisclab.musicdownloader.song.mp3download.app,Free Music Downloader & Free Mp3 Downloader,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.beauty.selfcamera.perfect,Beauty Camera,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.beautycamera.plusfuny,Beauty Camera Plus,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.beautyeditor.bestphotoeditor,Photo Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.beautymakeup.cameram,Beauty Makeup Camera,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.bestpuz.gams.artpics,Art Puzzle 2021,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.biscoco.camfilter,Biscuit Coco Cam,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.bluee.gorme,Blue-shoot Game,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.blur.image.handle,Blur Photo,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.blut.shooting,Bluetouch Shooting Game,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.bobom.crashran.race,Ranger Crash Game,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.boo.bam.frvpn,Bamboo VPN,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.borderedit.cameraapp,Border Sticker Camera,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.brawsantoon.besteditor,Skintoon – Labs of Cartoon,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.businessplannerdesign,Business Planner Manage,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.cam.io.cls,Classic filter camera,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.camepicin.libevent,PIP Camera 2022,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.candlesvpn.proxyss,Candles VPN,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.caniqiwa.perfectpuzzles,Perfect Puzzles,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.cartoons.photofacemaker,Photo editor PIP collage maker,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.caryshughes.toonprismaeffect,ToonPrisma – 3D Photo Effect,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.charlottefabron.hdvideoplayer,HD Video Player with music,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.classic.beat.cam,BeautyCam,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.cliffbradley.youtooncartooneffect,YouToon – AI Cartoon Effect,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.colinread.playphooteditor,Play Phoot Editor & Collage,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.collageimage.photofilter,Photo Filter,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.coolcall.callshow,Color Call,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.coolcall.newspipcamera,Photo PIP Camera,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.craftstoon.cartoonphoto,Craftsart Cartoon Photo Tools,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.creatoonbest.faceedit,Creatoon Face Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.creatorlena.vieds,Photo Video Editor:Lena Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.crown.camera,Crown Camera,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.customcamare.ppcamera,Photo Pro 2021,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.d2p.ads_manager_plus,Ads Manager Plus,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.dahuadata.photomakerpip,Maker PIP Gallery,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.dashboardmanagemeta,Pages Dashboard,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.davykinsman.photoquipo.cartooneffect,Photoquipo Cartoon Pic Effect,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.day.flywallpaper,Flyingfish Wallpaper,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.ddhd.cameraadorn,CameraAdorn,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.ddhd.creatormould,CreatorMould,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.ddhd.photo.elegantimage,ElegantImage,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.deepwallpaper.hd.live,"Deep Wallpaper-live,HD",https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.dennisarmstrong.videolancervideomaker,Videolancer – Pro Video Maker,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.dreammaker.phgridpip,PIP Collage Coco,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.dressing.charm.apps,Dress up Charming,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.dwyzb23xjiqpsn.zbqyuvfgtion,3 Patti King – India Rummy,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.dypica.facepicture,Face Picture,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.dysfree.barcode.scanner,QR Barcode Scan,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.edgarmay.atecphotoeffect,Atec Sparkle Photo Editor 2022,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.editor.xinphoto,Enjoy Photo Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.edmondatrentini.dingdingphotoeffect,Ding Ding Photo Effect Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.expto.akgarhwal.puzzlex,Art Photo Puzzle,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.fabiomancini.cartoonpainteffect,Cartoon Face Photo Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.faceart.savetoon.cartoonedit,Savetoon Art – Face Cartoon,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.faceartoon.studioon,Facetoon Photo Art,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.fast.vpn.lifestyleb,Fast VPN Proxy,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.fb.ads.optimize,Ads Optimize,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.fb.metas.adsmanager,Ads Manager For Business,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.fillartoon.toonphotos,Pica Artoon Face Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.filmstrip.drawanima,Photo Layout Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.filter.photoeditor,"Instapic: Photo Editor Pro, Collage Maker",https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.fimeruv.shapephotoeditor,Shape Photo Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.fiwyl.sharephotomaker,Share Photo Maker,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.flnt.uck,Speedy Vpn Tunnel,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.floydhampton.moldishmansphotoeffect,Moldish – Men’s Photo Editor,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.flyspeed.fish,FlyFish Speed,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.fonts.text.board,Stylist Fonts for Keyboard,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.fotspicass.makerpiccoa,PIP Editor Frame Photo,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.fqrs.qrscapp,Flash QRCode Scanner,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.free.unlimited.transcendvpn,Transcend VPN,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.free.vpn.masterproxy,Free VPN Master,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.freevpn.proxytuber,Super Tuber VPN,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
com.freevpn.proxytubervpn,Tuber VPN – Free&Secure VPN Proxy Server,https://www.fonearena.com/blog/376170/meta-list-of-400-malicious-android-ios-apps.html,unknown
